"sno","state","category","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
61,"Maharashtra",1,51.5,87.1666666666667,119.8,188.253333333333,190.028571428571,147.047619047619,3.375,186.829268292683,186.560975609756,171.633802816901,173.306818181818,197.233333333333,157.685714285714,154.046296296296,182.227722772277,174.638888888889,190.823529411765,161.575081433225,143.976829268293,128.536626916525,140.256875,185.642698295033,223.311151079137,204.441848290378,0,0,0,0,0
62,"Maharashtra",2,97.6666666666667,91.9166666666667,205.6,178.886075949367,195.525641025641,312.185185185185,3.98214285714286,180.423728813559,207.458333333333,182.541666666667,197.875,184.222222222222,168.1,160.657142857143,197.859259259259,168.034722222222,166,143.353724444444,144.12143928036,120.703723986857,169.507167764432,198.873651771957,183.969131097561,184.935653620962,0,0,0,0,0
63,"Maharashtra",3,0,0,0,0,0,0,27,140.5,125.733333333333,161.470588235294,159.206896551724,196.055555555556,124.243902439024,110.774193548387,190.666666666667,232.333333333333,0,0,0,82.2777777777778,110.353535353535,166.694736842105,242.821782178218,166.72,0,0,0,0,0
64,"Manipur",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"Manipur",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.178571428571,238.4,0,0,0,0,0,0,0
66,"Manipur",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"Meghalaya",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Meghalaya",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.25,0,77.5803571428571,78.6304347826087,85.8934911242604,100.542635658915,0,0,0,0,0,0
69,"Meghalaya",3,0,0,0,0,44.5833333333333,0,0,0,0,0,31.5,30.5,35,53.2142857142857,75.7916666666667,86.25,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"Mizoram",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"Mizoram",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.5868263473054,95.9679715302491,85.8163265306122,80.2750809061489,0,86.5320512813782,0,0,0,0,0
72,"Mizoram",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"Nagaland",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"Nagaland",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.514124293785,0,151.927536231884,134.617924528302,124.625,128.513888888889,144.055555555556,131.287769784173,0,0,0,0,0
75,"Nagaland",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"Odisha",1,218,228.75,223,202.25,188.181818181818,95.5333333333333,66.8333333333333,186.333333333333,177.333333333333,302.428571428571,143.25,176.6,167.333333333333,147.7,179.666666666667,181.5,0,166.023627760252,177.510416666667,174.71546961326,182.238213399504,208.631067961165,229.903225806452,210.815111109867,0,0,0,0,0
77,"Odisha",2,0,114.272727272727,119.545454545455,122.555555555556,171.125,73.1666666666667,28,156.083333333333,107.7,240.6,107.5,148.2,206,169.166666666667,179.75,167.416666666667,0,125.72279040404,140.952887537994,163.872568093385,160.93242156074,170.715956558062,168.548051948052,165.9758727646,131.71181556196,0,0,0,0
78,"Odisha",3,0,0,0,0,0,186.805555555556,35.14,226.148148148148,199.607142857143,202,120.9,142.22641509434,149.383333333333,116.966666666667,149.466666666667,131.813559322034,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"Puducherry",1,0,87.2,114.545454545455,94.3636363636364,112.9,0,0,235.166666666667,228.833333333333,318.833333333333,389.166666666667,433.75,409.777777777778,184,87.3636363636364,9.5,0,68.2577319587629,85.9662921348315,110.694736842105,76.0510204081633,75.4852941176471,82,70.373983739878,0,0,0,0,0
80,"Puducherry",2,0,111.615384615385,123.409090909091,112.409090909091,116.7,0,0,153.083333333333,157.416666666667,186.25,203.375,210.333333333333,155.619047619048,107.333333333333,74.875,12.7916666666667,0,51.3776595744681,77.8540540540541,116.085561497326,72.6893203883495,85.7352941176471,62.8095238095238,52.5770712908092,0,0,0,0,0
81,"Puducherry",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"Punjab",1,263,344.526315789474,345.9,396.125,383.5,279.416666666667,0,0,0,392.805555555556,311.176470588235,0,409.75,303.805555555556,103.833333333333,220.961538461538,0,0,1.406852248394,86.5874125874126,101.258680555556,97.6702508960574,95.1488636363636,22.78509196515,0,0,0,0,0
83,"Punjab",2,461.85,445.272727272727,503.333333333333,332.478260869565,360.166666666667,187.533333333333,0,0,0,320.545454545455,265.318181818182,0,469.434782608696,403.958333333333,152.5,268.357142857143,0,0,40.6888544891641,74.3444227005871,55.6606498194946,51.5480349344978,39.8447694038245,17.5260416666667,0.0931414055884843,0,0,0,0
84,"Punjab",3,0,0,0,0,102.166666666667,113.925925925926,0,0,21.5806451612903,230.964285714286,199.041666666667,0,348.083333333333,314.916666666667,226.972222222222,239.083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Rajasthan",1,174.318181818182,184.181818181818,227.75,190.361111111111,113.371428571429,119.08,11.125,295.826086956522,258.205882352941,313.28813559322,225.021276595745,289.952380952381,274.953488372093,239.272727272727,292.407407407407,81.0535714285714,311.697916666667,268.928702010969,262.456066945607,315.120734908136,308.148802017654,311.233211233211,307.181012658228,383.072562358354,0,0,0,0,0
86,"Rajasthan",2,152.315789473684,201.863636363636,250.5,219.395833333333,173.52380952381,189.7,12.2222222222222,243.611111111111,261.686274509804,276.183908045977,191.694444444444,261.2,274.507692307692,246.64,288.552083333333,85.53,366.005208333333,285.346545866365,285.409049773756,294.710191082803,277.932926829268,303.992553983619,309.59872611465,354.561524686815,0,0,0,0,0
87,"Rajasthan",3,111.1,134.727272727273,132.3,148.416666666667,83.3333333333333,256.148148148148,7.51428571428571,268.508771929825,368.981481481481,360.423728813559,273.383333333333,303.05,214.042553191489,111.321428571429,284.881355932203,58.7413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0
88,"Sikkim",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"Sikkim",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
90,"Sikkim",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"Tamil Nadu",1,166.785714285714,133.757575757576,149.241379310345,130.533333333333,128.386363636364,31.8,0,26.2278481012658,131.2,130.277777777778,116.104166666667,137.102040816327,89.1578947368421,88.1111111111111,95.1228070175439,96.9166666666667,0,167.347287234043,136.385093167702,142.376254180602,162.283870967742,168.03186646434,181.802575107296,175.505820895119,0,0,0,0,0
92,"Tamil Nadu",2,129.75,118.066666666667,109.193548387097,95.5789473684211,98.7719298245614,90.2857142857143,0,104.75,83.2571428571429,83.75,96.3611111111111,130.983333333333,79.68,105.979591836735,101.432835820896,44.1527777777778,0,116.28010989011,104.814814814815,96.8630136986301,100.130490956072,103.039592760181,115.521531100478,113.912557942339,0,0,0,0,0
93,"Tamil Nadu",3,0,0,0,0,91.75,0,0,74,43.8421052631579,73.2352941176471,89.35,96.4186046511628,59.4385964912281,53.12,69.3125,49.9821428571429,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"Telangana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"Telangana",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"Telangana",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"Tripura",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"Tripura",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,"Tripura",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"Uttar Pradesh",1,388.52,404.606060606061,440.186046511628,415.061538461538,421.360655737705,470.714285714286,122.9,507.717948717949,284.157142857143,391.55737704918,328.87012987013,347.194805194805,345.478260869565,328.3125,346.733333333333,326.025641025641,0,163.703211517165,374.535897435897,379.997017892644,392.609332113449,402.504772004242,410.784482758621,408.293970090222,0,0,24.5177966101695,0,0
101,"Uttar Pradesh",2,359.909090909091,439,421.612903225806,382.710144927536,386.515151515152,319.6,68.875,430.913043478261,288.929824561404,376.098039215686,310.220588235294,362.426470588235,301.289855072464,287.985294117647,361.782608695652,305.179104477612,0,211.513274336283,361.537449392713,362.920196439533,385.579969340828,407.43429844098,379.121773659828,352.416030432477,22.3164077302008,0,12.7823506133755,0,0
102,"Uttar Pradesh",3,282.166666666667,303.2,295.68,387,415,392.333333333333,198.072289156627,406.648648648649,367.355263157895,474.686274509804,335.168539325843,472.083333333333,357.467532467532,319.681818181818,322.7375,340.983333333333,0,0,300.632183908046,394.736363636364,366.174329501916,397.071955719557,404.492201039861,0,0,0,0,0,0
103,"Uttarakhand",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.108888886667,0,0,0,0,0
104,"Uttarakhand",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.84126984127,0,0,0,0,0,369.307866662,0,0,0,0,0
105,"Uttarakhand",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"Uttaranchal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.5,189.769230769231,0,0,0,0,0,0,0
107,"Uttaranchal",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.413793103448,263.625,248.698630136986,293.897435897436,0,0,0,0,0,0,0
108,"Uttaranchal",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"West Bengal",1,372.63768115942,363.583333333333,339.15,340.91935483871,299.984615384615,179.459459459459,21.943661971831,250.471428571429,274.375,283.777777777778,336.25,248.1875,390.166666666667,175.631578947368,172.666666666667,162.125,0,205.979586206896,254.151462994836,269.246861924686,227.765593561368,249.459734964322,350.250457038391,249.061875813774,0,0,19.4449324324324,0,0
110,"West Bengal",2,103.909090909091,0,0,197.833333333333,329.181818181818,255.857142857143,0,320.5,293.25,439.136363636364,245.545454545455,240.894736842105,255.541666666667,271.291666666667,256.208333333333,168.833333333333,0,152.148872180451,133.559595959596,149.152412280702,162.220647773279,209.735872235872,249.203539823009,197.180274859386,0,0,14.1149859943978,0,0
111,"West Bengal",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
